"country","iso3c","date","gdp_grwth","gdp","gdp_for20_grwth","gdp_forc20","gdp_dollars","gdp_forc20_dollars","gap_dollars","gap_relative"
"St. Vincent and the Grenadines","VCT",2015,NA,91.27324677435254,NA,91.27324677435254,786554592.592593,786554592.592593,"$0","0.00%"
"Sudan","SDN",2015,NA,100.80746361767017,NA,100.80746361767017,84985132167.2171,84985132167.2171,"$0","0.000%"
"Suriname","SUR",2015,NA,97.52506822996298,NA,97.52506822996298,5126188134.7499,5126188134.7499,"$0","0.00%"
"Sweden","SWE",2015,NA,91.86690256174732,NA,91.86690256174732,505103781349.757,505103781349.757,"$0","0.00%"
"Switzerland","CHE",2015,NA,92.9071205193631,NA,92.9071205193631,694118186379.628,694118186379.628,"$0","0.0000%"
"Syrian Arab Republic","SYR",2015,NA,104.86355920183973,NA,104.86355920183973,16468399180.3822,16468399180.3822,"$0","0%"
"Tajikistan","TJK",2015,NA,75.5822783062498,NA,75.5822783062498,8271454300.59548,8271454300.59548,"$0","0%"
"Tanzania","TZA",2015,NA,78.54731906889243,NA,78.54731906889243,47378603783.6471,47378603783.6471,"$0","0.000%"
"Thailand","THA",2015,NA,87.16631607009096,NA,87.16631607009096,401296437424.995,401296437424.995,"$0","0.00%"
"Timor-Leste","TLS",2015,NA,81.34485786442814,NA,81.34485786442814,1594447630.7963,1594447630.7963,"$0","0.00%"
"Togo","TGO",2015,NA,82.00549966906118,NA,82.00549966906118,4180866177.03946,4180866177.03946,"$0","0.000%"
"Tonga","TON",2015,NA,89.96270915869283,NA,89.96270915869283,437006227.162781,437006227.162781,"$0","0.0%"
"Trinidad and Tobago","TTO",2015,NA,113.41679516766034,NA,113.41679516766034,26851970253.811,26851970253.811,"$0","0.00%"
"Tunisia","TUN",2015,NA,92.88484810872872,NA,92.88484810872872,45780077487.7651,45780077487.7651,"$0","0.000%"
"Turkiye","TUR",2015,NA,86.7448678509471,NA,86.7448678509471,864316670330.882,864316670330.882,"$0","0%"
"Turkmenistan","TKM",2015,NA,78.31917326107424,NA,78.31917326107424,35799714285.7143,35799714285.7143,"$0","0%"
"Turks and Caicos Islands","TCA",2015,NA,85.96291693702052,NA,85.96291693702052,942070000,942070000,"$0","0%"
"Tuvalu","TUV",2015,NA,80.30303030303035,NA,80.30303030303035,36811659.5297123,36811659.5297123,"$0","0.00%"
"Uganda","UGA",2015,NA,81.78572029958497,NA,81.78572029958497,32387183844.6699,32387183844.6699,"$0","0.000%"
"Ukraine","UKR",2015,NA,89.29496754926049,NA,89.29496754926049,91030959454.6961,91030959454.6961,"$0","0.000%"
"United Arab Emirates","ARE",2015,NA,91.80317258920674,NA,91.80317258920674,370275469560.166,370275469560.166,"$0","0.00%"
"United Kingdom","GBR",2015,NA,92.46082379316321,NA,92.46082379316321,2934857946213.47,2934857946213.47,"$0","0.00%"
"United States","USA",2015,NA,91.35452556406732,NA,91.35452556406732,18206020741000,18206020741000,"$0","0.000%"
"Uruguay","URY",2015,NA,95.96666317827794,NA,95.96666317827794,53274304222.136,53274304222.136,"$0","0.00%"
"Uzbekistan","UZB",2015,NA,81.19357579303598,NA,81.19357579303598,86196265191.6645,86196265191.6645,"$0","0.000%"
"Vanuatu","VUT",2015,NA,84.57201144702913,NA,84.57201144702913,730870581.672312,730870581.672312,"$0","0.000%"
"Venezuela, RB","VEN",2015,NA,NA,NA,NA,NA,NA,NA,NA
