"country","iso3c","region","gdp_2019","gdp_2020","gdp_2021","SP.POP.TOTL_2019","SP.POP.TOTL_2020","SP.POP.TOTL_2021","tourism_gdp_share_2019","tourism_gdp_share_2020","tourism_gdp_share_2021","tourism_2019","tourism_2020","tourism_2021","change_gdp","tourism"
"Lao PDR","LAO","East Asia & Pacific",18491845636.2733,18584865505.7243,19049487143.367405,7212053,7319399,7319399,5.267186516468738,5.267186516468738,5.267186516468738,"5-10% GDP","5-10% GDP","5-10% GDP",3.0156076254511035,"5-10% GDP"
"Lebanon","LBN","Middle East & North Africa",46636950152.2218,36656689491.8247,34090721227.39697,5781907,5662923,5662923,18.691187934776902,18.691187934776902,18.691187934776902,">= 10% GDP",">= 10% GDP",">= 10% GDP",-26.90190692975048,">= 10% GDP"
"Luxembourg","LUX","Europe & Central Asia",66172102156.1277,65644422263.398,70165353624.67822,620001,630419,630419,9.45413519618808,9.45413519618808,9.45413519618808,"5-10% GDP","5-10% GDP","5-10% GDP",6.034645021747639,"5-10% GDP"
"Macao SAR, China","MAC","East Asia & Pacific",51073980038.8588,23373547288.5061,27578448445.708347,663653,676283,676283,77.75779363539762,77.75779363539762,77.75779363539762,">= 10% GDP",">= 10% GDP",">= 10% GDP",-46.00293843415818,">= 10% GDP"
"Madagascar","MDG","Sub-Saharan Africa",13186360351.4231,12245161250.7074,12783948345.738525,27533134,28225177,28225177,7.215789456999877,7.215789456999877,7.215789456999877,"5-10% GDP","5-10% GDP","5-10% GDP",-3.0517291728732787,"5-10% GDP"
"Malawi","MWI","Sub-Saharan Africa",7477443338.32433,7537262760.22512,7748306117.511423,18867337,19377061,19377061,0.6285570866061894,0.6285570866061894,0.6285570866061894,"< 5% GDP","< 5% GDP","< 5% GDP",3.622398284167971,"< 5% GDP"
"Malaysia","MYS","East Asia & Pacific",364601657599.112,344422938490.553,355100049583.7601,32804020,33199993,33199993,6.088562555140196,6.088562555140196,6.088562555140196,"5-10% GDP","5-10% GDP","5-10% GDP",-2.606024360371715,"5-10% GDP"
"Maldives","MDV","South Asia",5425046754.66318,3608046923.80234,5112602491.027916,504508,514438,514438,58.451109149876345,58.451109149876345,58.451109149876345,">= 10% GDP",">= 10% GDP",">= 10% GDP",-5.759291629453668,">= 10% GDP"
"Mali","MLI","Sub-Saharan Africa",16028741076.2588,15830713922.9713,16321466054.583408,20567424,21224040,21224040,1.509705162211575,1.509705162211575,1.509705162211575,"< 5% GDP","< 5% GDP","< 5% GDP",1.8262505890633023,"< 5% GDP"
"Marshall Islands","MHL","East Asia & Pacific",222953300,218847400,221254721.39999998,44728,43413,43413,9.992532943044552,9.992532943044552,9.992532943044552,"5-10% GDP","5-10% GDP","5-10% GDP",-0.7618539846685489,"5-10% GDP"
"Mauritania","MRT","Sub-Saharan Africa",7321146741.39669,7252436596.82511,7426495075.148913,4383849,4498604,4498604,0.18712915454261725,0.18712915454261725,0.18712915454261725,"< 5% GDP","< 5% GDP","< 5% GDP",1.438959461863282,"< 5% GDP"
"Mauritius","MUS","Sub-Saharan Africa",13871352306.2624,11846495742.3929,12272969589.119045,1265711,1265740,1265740,14.591223373991008,14.591223373991008,14.591223373991008,">= 10% GDP",">= 10% GDP",">= 10% GDP",-11.522904774192376,">= 10% GDP"
"Mexico","MEX","Latin America & Caribbean",1252567178093.5,1152513209905.93,1206681330771.5085,125085311,125998302,125998302,2.0635220571036395,2.0635220571036395,2.0635220571036395,"< 5% GDP","< 5% GDP","< 5% GDP",-3.6633442201346127,"< 5% GDP"
"Moldova","MDA","Europe & Central Asia",9155470178.1362,8479779801.96162,9658469194.434286,2664224,2635130,2635130,5.810733797926044,5.810733797926044,5.810733797926044,"5-10% GDP","5-10% GDP","5-10% GDP",5.493972526930155,"5-10% GDP"
"Mongolia","MNG","East Asia & Pacific",14174566299.8985,13528524724.6473,13744981120.241657,3232430,3294335,3294335,4.268208192051225,4.268208192051225,4.268208192051225,"< 5% GDP","< 5% GDP","< 5% GDP",-3.030676004950637,"< 5% GDP"
"Montenegro","MNE","Europe & Central Asia",4779756374.90249,4048124144.75079,4574380283.568393,622028,621306,621306,26.695921296324048,26.695921296324048,26.695921296324048,">= 10% GDP",">= 10% GDP",">= 10% GDP",-4.2967899454558856,">= 10% GDP"
"Morocco","MAR","Middle East & North Africa",123652552826.24,114765545450.071,123832023540.6266,36304408,36688772,36688772,8.097689672505625,8.097689672505625,8.097689672505625,"5-10% GDP","5-10% GDP","5-10% GDP",0.1451411315695147,"5-10% GDP"
"Mozambique","MOZ","Sub-Saharan Africa",18183590595.087,17959222232.3238,18372284343.667244,30285595,31178239,31178239,1.7818263027080092,1.7818263027080092,1.7818263027080092,"< 5% GDP","< 5% GDP","< 5% GDP",1.0377144579532331,"< 5% GDP"
"Myanmar","MMR","East Asia & Pacific",83686990310.177,86343026585.1156,70801281799.7948,53040212,53423198,53423198,2.988517081006626,2.988517081006626,2.988517081006626,"< 5% GDP","< 5% GDP","< 5% GDP",-15.3975049916632,"< 5% GDP"
"Namibia","NAM","Sub-Saharan Africa",11246310041.4838,10342532537.5003,10621780916.012806,2446644,2489098,2489098,4.010204221085981,4.010204221085981,4.010204221085981,"< 5% GDP","< 5% GDP","< 5% GDP",-5.553191430498716,"< 5% GDP"
"Nepal","NPL","South Asia",30605291409.2316,29880062111.1893,31135024719.859253,28832496,29348627,29348627,2.6237293063570952,2.6237293063570952,2.6237293063570952,"< 5% GDP","< 5% GDP","< 5% GDP",1.730855307157329,"< 5% GDP"
"Netherlands","NLD","Europe & Central Asia",840250428566.882,807597591789.77,846935670485.8497,17344874,17441500,17441500,3.136626737628743,3.136626737628743,3.136626737628743,"< 5% GDP","< 5% GDP","< 5% GDP",0.7956249341485035,"< 5% GDP"
"New Caledonia","NCL","East Asia & Pacific",NA,NA,NA,271230,271130,271130,2.8152232231209737,2.8152232231209737,2.8152232231209737,"< 5% GDP","< 5% GDP","< 5% GDP",NA,"< 5% GDP"
"Niger","NER","Sub-Saharan Africa",12212118177.9725,12645676156.6119,12822715622.804466,23443393,24333639,24333639,0.9889618710178416,0.9889618710178416,0.9889618710178416,"< 5% GDP","< 5% GDP","< 5% GDP",4.9999306912483545,"< 5% GDP"
